"Tipo de contacto","Fecha hora contacto","Coorde.nadaX","coorden.adaY"
"Recogida",2010-07-14,455129,3098272
"Recogida",2010-07-14,455088,3098269.01
"Recogida",2010-07-14,442025,3070954
"Recogida",2010-07-22,434960,3112299
"Recogida",2010-07-27,455145,3098179.01
"Recogida",2010-07-30,455587,3098290
"Captura",2010-07-31,458817,3108598
"Recogida",2010-07-31,458341,3104055
"Captura",2010-08-05,454776,3098289
"Recogida",2010-08-06,434467,3112200
"Captura",2010-08-07,454778,3098272
"Recogida",2010-08-04,454995,3098757
"Captura",2010-08-15,455995,3098636
"Captura",2010-08-15,455260,3098434
"Captura",2010-08-17,454892,3098350
"Captura",2010-08-18,455323,3098185
"Captura",2010-08-22,455065,3098295
"Recogida",2010-09-01,431782,3110742
"Captura",2010-09-10,454980,3098327
"Recogida",2010-09-10,456787,3098338
"Captura",2010-09-10,455076,3098268
"Recogida",2010-09-14,455345,3098379
"Captura",2010-09-14,456838,3098515
"Recogida",2010-09-22,455075,3098260
"Recogida",2010-09-23,434841,3111696.01
"Recogida",2010-10-02,459644,3087233.01
"Recogida",2010-10-05,432674,3111107
"Recogida",2010-10-16,455486,3098237
"Captura",2010-10-17,454861,3098391.01
"Recogida",2010-10-23,434582,3112452
"Captura",2010-10-25,455442,3098372.01
"Captura",2010-10-25,454816,3098378
"Captura",2010-10-26,455156,3098204
"Captura",2010-10-26,454082,3098340
"Recogida",2011-05-07,455641,3098285
"Recogida",2011-02-27,455336.01,3098221
"Captura",2011-03-23,455425,3098258
"Captura",2011-03-23,455391,3098257
"Captura",2011-03-28,455339,3098175
"Captura",2011-03-28,455453,3098272
"Captura",2011-03-28,455449,3098271
"Captura",2011-03-28,432695.84,3111106.19
"Captura",2011-03-28,432720,3111053
"Captura",2011-03-28,433535,3110988
"Recogida",2011-03-29,432628.03,3111064.48
"Recogida",2011-03-19,455391,3098257
"Captura",2011-03-29,455270,3098406
"Captura",2011-03-29,455381,3098203
"Captura",2011-03-29,455350,3098221
"Captura",2011-03-29,455366,3098184
"Captura",2011-03-29,434662,3114830
"Recogida",2011-03-29,434707,3111243
"Recogida",2011-03-16,455425,3098258
"Captura",2011-03-30,455237,3098355
"Captura",2011-03-30,455286,3098385
"Captura",2011-03-30,455343,3098239
"Captura",2011-03-30,454413,3098059
"Captura",2011-03-31,454840,3097965
"Captura",2011-03-31,455484,3098253.01
"Captura",2011-03-31,455483,3098260
"Recogida",2011-04-01,452968,3097820
"Recogida",2011-04-01,455454,3098233
"Recogida",2011-04-01,455453,3098237
"Recogida",2011-04-01,455181,3098176
